符号/键,位置(路径:行),现行值,单位,坐标系/归一化,精度要求,有效有限域,来源现状,出处,处置,适用域,备注
cosmetic.bad_column_enabled,eng/packaging/config/defaults.json:755,true,bool,列状缺陷路径开关（false 时逐位不生效）,不适用（开关）,"{0,1}",有文献（合同 §10.4）,docs/contracts/DATA_SEMANTICS.md §10.4（:304）,文献值,Phase1 装饰性校正,代码兜底位置 module_adapters.cpp:2782 附近以 p1_bool 读取（默认值同 true）；与点状缺陷开关共用 enabled 名 ⇒ 同名不同义已在 eng/ci/ledgers/config_default_divergences.json 登记
cosmetic.bad_column_sigma,eng/packaging/config/defaults.json:769,5.0,MAD 倍数,列统计量跨列跳变与帧内稳健尺度比对的阈值,>0,>0,有文献（合同判据 + SCI 缺陷形态可分性）,docs/contracts/DATA_SEMANTICS.md §10.4（:304）；docs/science/CALIBRATION.md,文献值,Phase1 列状缺陷检测,"代码兜底同值：module_adapters.cpp:2782 `p1_num(c, ""bad_column_sigma"", 5.0)`；换算因子 1.482602218505602（MAD→σ）在 lib 内 20 个文件 34 处各自写死，无单一来源（见该族行）"
cosmetic.bad_column_neighbor_k,eng/packaging/config/defaults.json:783,3,列数,每侧参与列统计量估计的列数,≥1,≥1,有文献（合同邻域宽度）,docs/contracts/DATA_SEMANTICS.md §10.4,文献值,Phase1 列状缺陷检测,"代码兜底同值 module_adapters.cpp:2783 `p1_int(c, ""bad_column_neighbor_k"", 3)`；与修复算子（左右两邻）同构但独立取值 ⇒ 两处应共享一个""邻域宽度""定义"
cosmetic.bad_column_sigma_master,eng/packaging/config/defaults.json:797,10.5,MAD 倍数,母版路径（暗/偏置母版）专用列状缺陷阈,>0；<=0 归一到科学帧阈（向后兼容）,>0,需实验标定（生产实现在真实母版上标定）,docs/contracts/DATA_SEMANTICS.md §10.4；标定证据 run/LINDEF-CLOSE-01/REPORT.md（authority_status=measured）,实验标定,Phase1 母版路径,"代码兜底见 module_adapters.cpp:2807（p1_num(c,""bad_column_sigma_master"", …)）；10.5 是标定曲线读数 ⇒ 标定数据/seed 是否入库需 AUD-205 核对（run/ 不入库 = 证据不可复现风险）"
cosmetic.bad_column_variance_kappa,eng/packaging/config/defaults.json:811,2.0,1（无量纲）,修复像素方差 = (Σw²·var)·κ,≥1/Σw²；两邻算术平均 ⇒ Σw²=0.5 ⇒ κ≥2,κ≥2,可公式导出（确定性插值不得声称携带多于一次独立测量）,docs/contracts/DATA_SEMANTICS.md §10.5（:328）；defaults.json:815 给出推导 κ≥1/Σw²=2,公式导出,Phase1 修复像素方差,已写出导出式且取等号 ⇒ 唯一正确值 2.0，硬编码可接受但应由式生成；对照实验数值 0.5502σ²≈Σw²σ² 支持 κ=1 的解释（估计量误差 vs 信息量两种语义）⇒ 语义分歧已在文档内记录，需裁定（交 AUD-203）
cosmetic.bad_column_master_wide_frac_max,eng/packaging/config/defaults.json:825,0.001,1（占帧宽）,母版路径「仅标记不修」列数的声明上界,0<x≤1；超界整类丢弃并记账,"(0,1]",需实验标定（实测反号配对事故标定）,docs/contracts/DATA_SEMANTICS.md；run/LINDEF-CLOSE-01/REPORT.md（加守卫前真实母版标记 1192 列）,实验标定,Phase1 母版路径宽列守卫,代码侧另有同形第二键 bad_column_science_wide_frac_max（module_adapters.cpp:2819-2820）**未进 defaults.json** ⇒ 科学帧路径的上界只在代码里，登记面缺口
PTHREAD_MUTEX_RECURSIVE,eng/cmake/win32_pthread_shim/pthread.h:23,1,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
kMemoryBudgetPercentMin,eng/packaging/config/runtime_resources_generated.h.in:17,1,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
kMemoryBudgetPercentMax,eng/packaging/config/runtime_resources_generated.h.in:18,100,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
blk,eng/tools/quality/sparse_punch_probe.cpp:93,4096,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
AC_COMBINE_MEAN,lib/algorithms/calibration/include/astro_calibration.h:20,0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
AC_COMBINE_MEDIAN,lib/algorithms/calibration/include/astro_calibration.h:21,1,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
AC_METHOD_MEDIAN,lib/algorithms/calibration/include/astro_calibration.h:23,0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
AC_METHOD_BILINEAR,lib/algorithms/calibration/include/astro_calibration.h:24,1,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
AC_OK,lib/algorithms/calibration/include/astro_calibration.h:26,0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
AC_ERR_PARAM,lib/algorithms/calibration/include/astro_calibration.h:27,-1,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
AC_ERR_MEMORY,lib/algorithms/calibration/include/astro_calibration.h:28,-2,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
AC_ERR_INTERNAL,lib/algorithms/calibration/include/astro_calibration.h:29,-3,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
AC_COLSTAT_OK,lib/algorithms/calibration/include/astro_calibration.h:33,0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
AC_COLSTAT_SCALE_DEGENERATE,lib/algorithms/calibration/include/astro_calibration.h:34,1,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
AC_COLSTAT_FRAME_TOO_SMALL,lib/algorithms/calibration/include/astro_calibration.h:35,2,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
AC_COLSTAT_EDGE_ONE_SIDED,lib/algorithms/calibration/include/astro_calibration.h:36,4,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
AC_COLSTAT_NO_ANCHOR,lib/algorithms/calibration/include/astro_calibration.h:37,8,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
AC_COLSTAT_MASK_CLEAN,lib/algorithms/calibration/include/astro_calibration.h:49,0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
AC_COLSTAT_MASK_REPAIRED,lib/algorithms/calibration/include/astro_calibration.h:50,1,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
AC_COLSTAT_MASK_WIDE,lib/algorithms/calibration/include/astro_calibration.h:51,2,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
AC_COLSTAT_SRC_SCIENCE,lib/algorithms/calibration/include/astro_calibration.h:191,1u,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
AC_COLSTAT_SRC_DARK,lib/algorithms/calibration/include/astro_calibration.h:192,2u,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
AC_COLSTAT_SRC_BIAS,lib/algorithms/calibration/include/astro_calibration.h:193,4u,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
AC_COLSTAT_CONF_HIGH,lib/algorithms/calibration/include/astro_calibration.h:195,3u,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
AC_COLSTAT_CONF_MEDIUM,lib/algorithms/calibration/include/astro_calibration.h:196,2u,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
AC_COLSTAT_CONF_LOW,lib/algorithms/calibration/include/astro_calibration.h:197,1u,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
ASTROCS_CAL_ABI_VERSION,lib/algorithms/calibration/include/astrocs/calibration/types.h:21,1u,未标注,不适用（结构/实现常数）,不适用,未标注,不适用（结构性常数，非科学量）,,待确认,生产代码,命名常数旁表（纯数值初始化）
ASTROCS_CAL_PLAN_VERSION,lib/algorithms/calibration/include/astrocs/calibration/types.h:28,1,未标注,不适用（结构/实现常数）,不适用,未标注,不适用（结构性常数，非科学量）,,待确认,生产代码,命名常数旁表（纯数值初始化）
ASTROCS_CAL_CONFIG_SCHEMA_VER,lib/algorithms/calibration/include/astrocs/calibration/types.h:29,1,未标注,不适用（结构/实现常数）,不适用,未标注,不适用（结构性常数，非科学量）,,待确认,生产代码,命名常数旁表（纯数值初始化）
ASTROCS_CAL_ECODE_NONE,lib/algorithms/calibration/include/astrocs/calibration/types.h:96,0u,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
ASTROCS_CAL_ECODE_OP_UNKNOWN,lib/algorithms/calibration/include/astrocs/calibration/types.h:97,100u,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
ASTROCS_CAL_ECODE_PARAM_MISSING,lib/algorithms/calibration/include/astrocs/calibration/types.h:98,101u,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
ASTROCS_CAL_ECODE_PARAM_TYPE,lib/algorithms/calibration/include/astrocs/calibration/types.h:99,102u,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
ASTROCS_CAL_ECODE_PARAM_RANGE,lib/algorithms/calibration/include/astrocs/calibration/types.h:100,103u,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
ASTROCS_CAL_ECODE_PLAN_FAIL,lib/algorithms/calibration/include/astrocs/calibration/types.h:101,104u,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
ASTROCS_CAL_ECODE_EXECUTOR_MISSING,lib/algorithms/calibration/include/astrocs/calibration/types.h:102,105u,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
ASTROCS_CAL_ECODE_MANIFEST_MISSING,lib/algorithms/calibration/include/astrocs/calibration/types.h:103,110u,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
ASTROCS_CAL_ECODE_MANIFEST_DIMS,lib/algorithms/calibration/include/astrocs/calibration/types.h:104,111u,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
ASTROCS_CAL_ECODE_B64_INVALID,lib/algorithms/calibration/include/astrocs/calibration/types.h:105,112u,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
ASTROCS_CAL_ECODE_LEGACY_REJECT,lib/algorithms/calibration/include/astrocs/calibration/types.h:106,120u,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
ASTROCS_CAL_ECODE_EXCEPTION,lib/algorithms/calibration/include/astrocs/calibration/types.h:107,130u,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
AC_COLSTAT_OK,lib/algorithms/calibration/src/cosmetic_corrector.cpp:287,0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
AC_COLSTAT_SCALE_DEGENERATE,lib/algorithms/calibration/src/cosmetic_corrector.cpp:288,1,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
AC_COLSTAT_FRAME_TOO_SMALL,lib/algorithms/calibration/src/cosmetic_corrector.cpp:289,2,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
AC_COLSTAT_EDGE_ONE_SIDED,lib/algorithms/calibration/src/cosmetic_corrector.cpp:290,4,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
