类型,符号或键,位点,现行值,机判档,赋值形态,该行原文
具名,src_scale_rad,lib/algorithms/drizzle/healpix_drizzle/reverse_drizzle.cpp:362,0.5,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double src_scale_rad = 0.5 * (s1 + s2) * (3.14159265358979323846 / 180.0);
具名,M_PI,lib/algorithms/drizzle/healpix_drizzle/snr_evaluator.cpp:20,3.14159265358979323846,③未见于条文面,声明行未见值（须读初始化处）,#define M_PI 3.14159265358979323846
具名,D2R,lib/algorithms/drizzle/healpix_drizzle/snr_evaluator.cpp:28,0.017453292519943295769,③未见于条文面,字面量硬编码·条文面零提及,static constexpr double D2R = 0.017453292519943295769;
具名,R2D,lib/algorithms/drizzle/healpix_drizzle/snr_evaluator.cpp:29,57.2957795130823208768,③未见于条文面,字面量硬编码·条文面零提及,static constexpr double R2D = 57.2957795130823208768;
具名,DEFAULT_KNN,lib/algorithms/drizzle/healpix_drizzle/snr_evaluator.h:113,16,③未见于条文面,字面量硬编码·条文面零提及,static constexpr int DEFAULT_KNN = 16;
具名,PI,lib/algorithms/drizzle/healpix_drizzle/spherical_overlap.cpp:80,3.14159265358979323846,③未见于条文面,字面量硬编码·条文面零提及,static const double PI      = 3.14159265358979323846;
具名,TWO_PI,lib/algorithms/drizzle/healpix_drizzle/spherical_overlap.cpp:81,2.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,static const double TWO_PI  = 2.0 * PI;
具名,RAD2DEG,lib/algorithms/drizzle/healpix_drizzle/spherical_overlap.cpp:84,180.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,static const double RAD2DEG = 180.0 / PI;
具名,RAD_TO_ARCSEC,lib/algorithms/drizzle/healpix_drizzle/spherical_overlap.cpp:86,180.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,static const double RAD_TO_ARCSEC = 180.0 * 3600.0 / PI;
具名,HP_ADAPTIVE_MAX_DEPTH,lib/algorithms/drizzle/healpix_drizzle/spherical_overlap.cpp:558,8,③未见于条文面,字面量硬编码·条文面零提及,static const int    HP_ADAPTIVE_MAX_DEPTH = 8;      // 最大递归深度 (2^8=256 段/边)
具名,WCS_ADAPTIVE_MAX_DEPTH,lib/algorithms/drizzle/healpix_drizzle/spherical_overlap.cpp:859,12,③未见于条文面,字面量硬编码·条文面零提及,static const int WCS_ADAPTIVE_MAX_DEPTH = 12;
具名,inside_tol,lib/algorithms/drizzle/healpix_drizzle/spherical_overlap.cpp:1227,1e-12,③未见于条文面,字面量硬编码·条文面零提及,const double inside_tol = 1e-12;
具名,kArcsecToRad,lib/algorithms/drizzle/healpix_drizzle/v6_spherical_overlap.cpp:19,3.14159265358979323846,③未见于条文面,随输入算出（可导出，但须登记导出式）,constexpr double kArcsecToRad = 3.14159265358979323846 / 180.0 / 3600.0;
具名,kMaxInvalidAreaHits,lib/algorithms/drizzle/healpix_drizzle/v6_spherical_overlap.h:62,0,③未见于条文面,字面量硬编码·条文面零提及,constexpr std::uint64_t kMaxInvalidAreaHits = 0;
具名,M_PI,lib/algorithms/drizzle/healpix_drizzle/wcs_sip.cpp:9,3.14159265358979323846,③未见于条文面,声明行未见值（须读初始化处）,#define M_PI 3.14159265358979323846
具名,R2D,lib/algorithms/drizzle/healpix_drizzle/wcs_sip.cpp:18,180.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,static constexpr double R2D = 180.0 / M_PI;  // 弧度 → 度
具名,ASTROCS_HIPS_PUBLISH_ABI_VERSION,lib/algorithms/drizzle/hips/include/astrocs/hips/publish.h:42,1u,③未见于条文面,声明行未见值（须读初始化处）,#define ASTROCS_HIPS_PUBLISH_ABI_VERSION 1u
具名,ASTROCS_HIPS_MODULE_VERSION,lib/algorithms/drizzle/hips/include/astrocs/hips/types.h:28,1u,③未见于条文面,声明行未见值（须读初始化处）,#define ASTROCS_HIPS_MODULE_VERSION  1u
具名,ASTROCS_HIPS_ABI_VERSION,lib/algorithms/drizzle/hips/include/astrocs/hips/types.h:29,1u,③未见于条文面,声明行未见值（须读初始化处）,#define ASTROCS_HIPS_ABI_VERSION     1u
具名,ASTROCS_HIPS_CONFIG_SCHEMA_VER,lib/algorithms/drizzle/hips/include/astrocs/hips/types.h:42,1u,③未见于条文面,声明行未见值（须读初始化处）,#define ASTROCS_HIPS_CONFIG_SCHEMA_VER 1u
具名,ASTROCS_HIPS_PLAN_VERSION,lib/algorithms/drizzle/hips/include/astrocs/hips/types.h:45,1u,③未见于条文面,声明行未见值（须读初始化处）,#define ASTROCS_HIPS_PLAN_VERSION 1u
具名,PUBLISH_PATH_MAX,lib/algorithms/drizzle/hips/src/aio_publish.cpp:38,1024,③未见于条文面,声明行未见值（须读初始化处）,#define PUBLISH_PATH_MAX 1024
具名,_POSIX_C_SOURCE,lib/algorithms/drizzle/hips/src/module_entry.cpp:28,200809L,③未见于条文面,声明行未见值（须读初始化处）,#define _POSIX_C_SOURCE 200809L
具名,ASTROCS_DRIZZLE_MODULE_VERSION,lib/algorithms/drizzle/include/astrocs/drizzle/types.h:24,1u,③未见于条文面,声明行未见值（须读初始化处）,#define ASTROCS_DRIZZLE_MODULE_VERSION  1u
具名,ASTROCS_DRIZZLE_ABI_VERSION,lib/algorithms/drizzle/include/astrocs/drizzle/types.h:25,1u,③未见于条文面,声明行未见值（须读初始化处）,#define ASTROCS_DRIZZLE_ABI_VERSION     1u
具名,ASTROCS_DRIZZLE_CONFIG_SCHEMA_VER,lib/algorithms/drizzle/include/astrocs/drizzle/types.h:34,1u,③未见于条文面,声明行未见值（须读初始化处）,#define ASTROCS_DRIZZLE_CONFIG_SCHEMA_VER 1u
具名,ASTROCS_DRIZZLE_PLAN_VERSION,lib/algorithms/drizzle/include/astrocs/drizzle/types.h:37,1u,③未见于条文面,声明行未见值（须读初始化处）,#define ASTROCS_DRIZZLE_PLAN_VERSION    1u
具名,_POSIX_C_SOURCE,lib/algorithms/drizzle/src/module_entry.cpp:22,200809L,③未见于条文面,声明行未见值（须读初始化处）,#define _POSIX_C_SOURCE 200809L
具名,DRZ_SIP_ORDER_MAX,lib/algorithms/drizzle/src/module_entry.cpp:721,5,③未见于条文面,声明行未见值（须读初始化处）,#define DRZ_SIP_ORDER_MAX 5
具名,kEpsPixivar,lib/algorithms/integration/v6/include/astrocs/v6/phase2_integrate.h:64,0.05,③未见于条文面,字面量硬编码·条文面零提及,constexpr double kEpsPixivar = 0.05;      /* FZ-AP2S-EPS-PIXIVAR */
具名,kEpsPixivarSup,lib/algorithms/integration/v6/include/astrocs/v6/phase2_integrate.h:65,0.20,③未见于条文面,字面量硬编码·条文面零提及,constexpr double kEpsPixivarSup = 0.20;   /* FZ-AP2S-EPS-PIXIVAR-SUP */
具名,kIdentRtol,lib/algorithms/integration/v6/include/astrocs/v6/phase2_integrate.h:66,1e-9,③未见于条文面,字面量硬编码·条文面零提及,constexpr double kIdentRtol = 1e-9;       /* FZ-AP2S-IDENT-RTOL */
具名,kSnrIdentRtol,lib/algorithms/integration/v6/include/astrocs/v6/phase2_integrate.h:67,1e-9,③未见于条文面,字面量硬编码·条文面零提及,constexpr double kSnrIdentRtol = 1e-9;    /* FZ-AP2PT-SNR-IDENT-RTOL */
具名,kCorrRatioMin,lib/algorithms/integration/v6/include/astrocs/v6/phase2_integrate.h:68,1.05,③未见于条文面,字面量硬编码·条文面零提及,constexpr double kCorrRatioMin = 1.05;    /* FZ-AP2PT-CORR-RATIO-MIN */
具名,kEpsfRtol,lib/algorithms/integration/v6/include/astrocs/v6/phase2_integrate.h:69,1e-12,③未见于条文面,字面量硬编码·条文面零提及,constexpr double kEpsfRtol = 1e-12;       /* FZ-AP2S-EPSF-RTOL */
具名,kCommonMin,lib/algorithms/integration/v6/include/astrocs/v6/phase2_integrate.h:70,3,③未见于条文面,字面量硬编码·条文面零提及,constexpr int    kCommonMin = 3;          /* PSFSW-T-NMIN */
具名,kKCorrFrozen,lib/algorithms/integration/v6/include/astrocs/v6/phase2_integrate.h:71,1.4,③未见于条文面,字面量硬编码·条文面零提及,constexpr double kKCorrFrozen = 1.4;      /* FZ-PROV-KCORR-VALUE */
具名,kPi,lib/algorithms/integration/v6/src/phase2_integrate.cpp:43,3.14159265358979323846,③未见于条文面,字面量硬编码·条文面零提及,const double kPi = 3.14159265358979323846;
具名,var_f,lib/algorithms/integration/v6/src/phase2_integrate.cpp:917,1.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double var_f = 1.0 / w;
具名,n,lib/algorithms/integration/v6/src/phase2_integrate.cpp:1363,4,③未见于条文面,字面量硬编码·条文面零提及,const std::uint32_t n = 4;
具名,p_ii,lib/algorithms/integration/v6/src/variance_propagation.cpp:78,1.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,"const double p_ii = 1.0 - row_diag(h, i);"
具名,w,lib/algorithms/integration/v6/src/variance_propagation.cpp:203,1.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double w = 1.0 / var;
具名,naive,lib/algorithms/integration/v6/src/variance_propagation.cpp:216,1.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double naive = 1.0 + 1.0 / dn;
具名,kNodeReproductionTol,lib/algorithms/integration/v6/src/weight_chain.cpp:17,1e-9,③未见于条文面,字面量硬编码·条文面零提及,constexpr double kNodeReproductionTol = 1e-9;
具名,w,lib/algorithms/integration/v6/src/weight_chain.cpp:107,1.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double w = 1.0 / variance;
具名,b0,lib/algorithms/integration/v6/src/weight_chain.cpp:212,4.0,③未见于条文面,字面量硬编码·条文面零提及,const double b0 = 4.0;
具名,rhs,lib/algorithms/integration/v6/src/weight_chain.cpp:218,6.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double rhs = 6.0 * (y[i + 2] - 2.0 * y[i + 1] + y[i]);
具名,kStackCap,lib/algorithms/integration/v6/src/weight_chain.cpp:634,512,③未见于条文面,字面量硬编码·条文面零提及,constexpr int kStackCap = 512;
具名,SNR_NOISE_CONFIG_ABI_VERSION,lib/algorithms/noise_snr/cpp/include/snr_estimator.h:23,1u,③未见于条文面,声明行未见值（须读初始化处）,#define SNR_NOISE_CONFIG_ABI_VERSION   1u
具名,SNR_NOISE_MODEL_ABI_VERSION,lib/algorithms/noise_snr/cpp/include/snr_estimator.h:28,2u,③未见于条文面,声明行未见值（须读初始化处）,#define SNR_NOISE_MODEL_ABI_VERSION    2u
具名,SNR_SIGMA_SKY_UNSPECIFIED,lib/algorithms/noise_snr/cpp/include/snr_estimator.h:318,0,③未见于条文面,声明行未见值（须读初始化处）,#define SNR_SIGMA_SKY_UNSPECIFIED          0
具名,SNR_SIGMA_SKY_SHOT_ONLY,lib/algorithms/noise_snr/cpp/include/snr_estimator.h:319,1,③未见于条文面,声明行未见值（须读初始化处）,#define SNR_SIGMA_SKY_SHOT_ONLY            1
具名,SNR_SIGMA_SKY_EMPIRICAL_TOTAL_RMS,lib/algorithms/noise_snr/cpp/include/snr_estimator.h:320,2,③未见于条文面,声明行未见值（须读初始化处）,#define SNR_SIGMA_SKY_EMPIRICAL_TOTAL_RMS  2
具名,SNR_SIP_MAX_ORDER,lib/algorithms/noise_snr/cpp/include/snr_estimator.h:427,5,③未见于条文面,声明行未见值（须读初始化处）,#define SNR_SIP_MAX_ORDER 5
具名,SNR_SIP_COEFF_SIZE,lib/algorithms/noise_snr/cpp/include/snr_estimator.h:428,36,③未见于条文面,随输入算出（可导出，但须登记导出式）,"#define SNR_SIP_COEFF_SIZE 36  // (ORDER+1)*(ORDER+2)/2 上限, 用 6x6 数组存储"
具名,SNR_DROP_REASON_COUNT,lib/algorithms/noise_snr/cpp/include/snr_estimator.h:469,256,③未见于条文面,声明行未见值（须读初始化处）,#define SNR_DROP_REASON_COUNT 256
具名,dinv,lib/algorithms/noise_snr/cpp/src/information_weight.cpp:158,1.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double dinv = 1.0 / d_diag[i];
具名,M_PI,lib/algorithms/noise_snr/cpp/src/noise_model.cpp:28,3.14159265358979323846,③未见于条文面,声明行未见值（须读初始化处）,#define M_PI 3.14159265358979323846
具名,lam_hi,lib/algorithms/noise_snr/cpp/src/noise_model.cpp:197,0.5,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double lam_hi = 0.5 * (tr + disc);
具名,lam_lo,lib/algorithms/noise_snr/cpp/src/noise_model.cpp:198,0.5,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double lam_lo = 0.5 * (tr - disc);
具名,kFitEpsScale,lib/algorithms/noise_snr/cpp/src/noise_model.cpp:324,8.0,③未见于条文面,字面量硬编码·条文面零提及,"constexpr double kFitEpsScale = 8.0;   // 纯浮点比较余量倍数（见下）, 不是科学阈值"
具名,f,lib/algorithms/noise_snr/cpp/src/noise_model.cpp:349,2.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double f = 2.0 * dot / vv;
具名,f,lib/algorithms/noise_snr/cpp/src/noise_model.cpp:354,2.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double f = 2.0 * dot / vv;
具名,kMaskDegraded,lib/algorithms/noise_snr/cpp/src/noise_model.cpp:644,2,③未见于条文面,随输入算出（可导出，但须登记导出式）,constexpr uint32_t kMaskDegraded = 2u;    // bit1: 天空预算收缩后仍 nq<预算 / 全局兜底
具名,mid,lib/algorithms/noise_snr/cpp/src/noise_model.cpp:901,0.5,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double mid = 0.5 * (lo + hi);
具名,M_PI,lib/algorithms/noise_snr/cpp/src/snr_estimator.cpp:30,3.14159265358979323846,③未见于条文面,声明行未见值（须读初始化处）,#define M_PI 3.14159265358979323846
具名,kMoffat4FwhmFactor,lib/algorithms/noise_snr/cpp/src/snr_estimator.cpp:40,1.230310,③未见于条文面,字面量硬编码·条文面零提及,constexpr double kMoffat4FwhmFactor = 1.230310;
具名,EPS2,lib/algorithms/noise_snr/cpp/src/snr_estimator.cpp:249,1e-6,③未见于条文面,字面量硬编码·条文面零提及,const double EPS2 = 1e-6;
具名,EPS2,lib/algorithms/noise_snr/cpp/src/snr_estimator.cpp:418,1e-6,③未见于条文面,字面量硬编码·条文面零提及,const double EPS2 = 1e-6;
具名,D2R,lib/algorithms/noise_snr/cpp/src/snr_estimator.cpp:510,0.017453292519943295769,③未见于条文面,字面量硬编码·条文面零提及,const double D2R = 0.017453292519943295769;
具名,R2D,lib/algorithms/noise_snr/cpp/src/snr_estimator.cpp:511,57.295779513082320877,③未见于条文面,字面量硬编码·条文面零提及,const double R2D = 57.295779513082320877;
具名,kPi,lib/algorithms/noise_snr/cpp/src/snr_science.cpp:47,3.14159265358979323846,③未见于条文面,字面量硬编码·条文面零提及,constexpr double kPi   = 3.14159265358979323846;
具名,kGaussFwhmFactor,lib/algorithms/noise_snr/cpp/src/snr_science.cpp:50,2.3548200450309493,③未见于条文面,字面量硬编码·条文面零提及,constexpr double kGaussFwhmFactor = 2.3548200450309493;
具名,kMoffat4FwhmFactor,lib/algorithms/noise_snr/cpp/src/snr_science.cpp:54,1.230310,③未见于条文面,字面量硬编码·条文面零提及,constexpr double kMoffat4FwhmFactor = 1.230310;
具名,alpha2,lib/algorithms/noise_snr/cpp/src/snr_science.cpp:72,2.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double alpha2 = 2.0 * sigma_px * sigma_px;  // 各向同性 Q = 0.5 r^2/sigma^2
具名,t,lib/algorithms/noise_snr/cpp/src/snr_science.cpp:80,1.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double t = 1.0 + r2 / alpha2;
具名,v,lib/algorithms/noise_snr/cpp/src/snr_science.cpp:82,1.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double v = 1.0 / (t2 * t2);   // t^-4
具名,alpha2,lib/algorithms/noise_snr/cpp/src/snr_science.cpp:174,2.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double alpha2 = 2.0 * sigma * sigma;
具名,t,lib/algorithms/noise_snr/cpp/src/snr_science.cpp:189,1.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double t = 1.0 + r2 / alpha2;
具名,val,lib/algorithms/noise_snr/cpp/src/snr_science.cpp:191,1.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double val = 1.0 / (t2 * t2);
具名,alpha2,lib/algorithms/noise_snr/cpp/src/snr_science.cpp:222,2.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double alpha2 = 2.0 * sigma * sigma;
具名,u,lib/algorithms/noise_snr/cpp/src/snr_science.cpp:223,1.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double u = 1.0 + (r * r) / alpha2;
具名,f_in,lib/algorithms/noise_snr/cpp/src/snr_science.cpp:224,1.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double f_in = 1.0 - 1.0 / (u * u * u);  // 1 - u^-3
具名,f5,lib/algorithms/noise_snr/cpp/src/snr_science.cpp:257,5.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double f5 = 5.0 * reference->sigma_f_optimal_adu;
具名,W,lib/algorithms/noise_snr/cpp/test/noise_model_science_test.cpp:41,256,③未见于条文面,字面量硬编码·条文面零提及,"constexpr int W = 256, H = 256;"
具名,r0,lib/algorithms/noise_snr/cpp/test/noise_model_science_test.cpp:62,12,③未见于条文面,字面量硬编码·条文面零提及,const int r0 = 12;
具名,W4,lib/algorithms/noise_snr/cpp/test/noise_model_science_test.cpp:208,512,③未见于条文面,字面量硬编码·条文面零提及,"const int W4 = 512, H4 = 512;"
