符号或键,类别,位置集合（全部侧，规范化全路径:行）,现行值,单位,坐标系或归一化,精度要求,有效有限域,来源现状,出处,处置,适用域,是否已复核,冲突标记,来源成稿与条目,多侧默认值预筛（预筛已回：raw/D4-多侧默认值全表.csv）
0.85 抄进用户可见诊断串,容差,lib/infrastructure/cli/resource_gate.h:492；eng/contracts/resource_gate_v1.json（补侧·本行出处所列，该侧带值）,0.85（串内字面量）,分数,CPU 均值利用率门的回显,不适用,契约值 compute.mean_utilization_min_percent=85,有文献（契约）＋载体错,resource_gate.h:492；契约 eng/contracts/resource_gate_v1.json,公式导出,用户可见诊断文本,否（判读层逐行已判，未过第②层复核）,红（判读层立案 A3 §2.2）：契约改值即产生假文案，应写 kCpuMeanMinPercent/100,AUD-402-判读-A3 §2.2,
1.253（应为 √(π/2)）,常数,lib/algorithms/noise_snr/cpp/src/snr_science.cpp:279；lib/algorithms/noise_snr/cpp/src/snr_science.cpp:272；eng/tests/unit/p1snr/p1snr_linux_test.cpp:244（补侧·本行出处所列，该侧带值）；docs/science/NOISE_MODEL.md:323（补侧·本行出处所列，该侧带值）,1.253,无量纲（dex→σ 换算）,sigma_logflux_dex 的倍率：return 1.253 * sigma_logflux_dex / sqrt(n),测试以 rtol=1e-15 断言该截断值 ⇒ 把偏差冻结成合同,精确值 1.2533141373155001；截断引入系统性相对偏差 −2.51e-4,公式导出（同文件 :272 注释自己写「1.253 = sqrt(pi/2)」）,snr_science.cpp:279（代码）、:272（自证注释）；p1snr_linux_test.cpp:244（1e-15 断言）；docs/science/NOISE_MODEL.md:323,公式导出,绝对 SNR 的 dex 不确定度换算,否（判读层逐行已判，未过第②层复核）,红（判读层立案 BD1-D1）：仓内已有导出式却被写成三位截断值，且被 1e-15 容差冻结 ⇒ 日后订正必红,AUD-402-判读-BD1 §1.2 D1,
Phase2 逐像素科学权重（臂 A）,公式,lib/infrastructure/scheduler/src/module_adapters.cpp:11936；lib/infrastructure/scheduler/src/module_adapters.cpp:8155；lib/infrastructure/scheduler/src/module_adapters.cpp:12004；docs/science/NOISE_MODEL.md（补侧·本行出处所列，该侧带值）,w_used = 1/σ_bg²（背景面 ivar）；最优 w_opt = 1/(σ_bg² + S_src/g),ADU⁻²,比值 R = w_used/w_opt = 1 + S_src/(g·σ_bg²),"第②层复算倍数表：F=10³→7.6×（σ_bg=5,g=1.3）；F=10⁶→6645×",σ_bg² 只在 S_src≡0 或 S_src/g ≪ σ_bg² 时等于样本方差,公式导出（Cauchy–Schwarz 取等条件 w_i ∝ 1/v_i；photutils calc_total_error σ_tot=√(σ_bkg²+I/g_eff)；Zackay & Ofek 2017 II 标题自带背景主导限定）,ASTROCS_DESIGN.md:156-158/:168-174；docs/science/NOISE_MODEL.md §5b/§5c/§10；module_adapters.cpp:11936/:8155/:12004,公式导出,创新点②③ 叠加权＋产品误差面,是（第②层复核改判）,红：背景方差面冒充逐像素物理总方差场入权；mosaic variance=1/W 使亮源像素误差棒按构造偏小 1–3 个数量级（写入交付产品）,AUD-202-SNR核验 AUD202-001/AUD202-010；复核-AUD202 V1（P0）；复核注记：是（复核-AUD202 V1 定 P0；V3 推翻「两篇 FROZEN 互斥需裁决」，降为 P2 文档订正）,
USER_HZ / _SC_CLK_TCK,常数,lib/infrastructure/cli/monitor.h:257；lib/infrastructure/cli/monitor.h:258；lib/infrastructure/cli/monitor.h:277,100.0（硬编码）,tick/秒,/proc/self/stat 的 utime/stime → 秒,不适用,Linux tick 频率是内核构建期选项（常见 100/250/300/1000）；proc(5) 明示这些字段以 clock tick 计,公式导出（sysconf(_SC_CLK_TCK)）,monitor.h:257/:258（硬编码除 100.0）；反证在同文件 :204-205（iowait）与 :277-278（read_thread_cpu）都已用 sysconf(_SC_CLK_TCK) 并只在返回 ≤0 时兜底 100,公式导出,cpu_seconds → 等效核 → GateConfig,否（判读层逐行已判，未过第②层复核）,红（判读层立案 A2 L-05）：同一物理量三处两套口径；非 100 Hz 内核上同一份报告里 per_thread_cpu_sum_pct 与 cpu_cores_used 相差 hz/100 倍，且现无任何门交叉核对二者（交叉校验实测 0 处）,AUD-402-判读-A2 §3.2 L-05；L-05,
cpu_pct_p50,常数,lib/infrastructure/cli/resource_recorder.h:259；eng/contracts/resource_gate_v1.json；lib/infrastructure/cli/resource_recorder.h:79,0.50 ｜ 0.0,未标注,未标注,未标注,未标注,不适用（结构性常数）,"eng/contracts/resource_gate_v1.json compute.p50_utilization_min_percent 的统计量名=""p50""；—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）",公式导出,送 gate :190 判据⑤,否（判读层逐行已判，未过第②层复核）,红：判读层把同一符号按位点分行登记，取值不等（resource_recorder.h:259=0.50；resource_recorder.h:79=0.0）,AUD-402-判读-A3,
eq,常数,lib/infrastructure/cli/monitor.h:430；lib/infrastructure/cli/commands.cpp:719；lib/infrastructure/cli/resource_recorder.h:128,0.0,等效核,interval_<=0 时的短路值；否则 ΔCPU秒/标称 interval,无,每样本,不适用（结构性常数：短路兜底）——但**同一表达式的非兜底侧**是该模块的核心口径问题,:428-437 与 commands.cpp:719 注释（作者以 0.5 s 标称周期自证「normalized 口径成立」）；对照 :470 的 last_t_ 成员（记录上次采样时刻，全文件零使用）,公式导出,cpu_cores_used 事件、work_core_seconds（⑦ 事实标记）、GateConfig.avg_equivalent_cores,否（判读层逐行已判，未过第②层复核）,红（判读层立案 L-04｜AUD-402-判读-A2 §3.2）：eq = d_cpu_seconds / interval_ 用标称周期作分母；采样被拖慢时按 0.5 s 折算 ⇒ 等效核系统性高估（高估＝利用率好看＝fail-open）。同族 resource_recorder.h:128 亦用标称，而 commands.cpp:782 的窗长又改用实测 elapsed_seconds ⇒ 三处两口径；实测量 last_t_（:470）已备但全文件零使用,AUD-402-判读-A2；L-04,
hips_pixel_scale（浏览器真值件）,常数,lib/infrastructure/hips_browser/healpix_browser_qt/tools/gen_geometry_truth.py:177；lib/infrastructure/aio/src/hips/aio_hips_writer.cpp:1890；eng/tests/unit/p1_hips_writer_test.cpp:158（补侧·抄自判读件按侧登记的位置列）,58.6（写死）,未注释（应为度）,HIPS 像元尺度,不适用,58.632301428350395° 正是 nside=1 基面像元尺度；同文件 :168 声明 hips_order=leaf_order（SHIFT=9 ⇒ nside≥512 ⇒ 应约 0.114516°）,公式导出（IVOA：(180/π)·√(π/3)/nside）,gen_geometry_truth.py:177（写死）、:168/:35（阶数声明）；生产写出路径 aio_hips_writer.cpp:1890 已按式算（不受影响）；本机复算 numerics.txt,公式导出,HiPS 浏览器几何真值文件（非交付产品链）,否（判读层逐行已判，未过第②层复核）,红（判读层立案 BD1-D5）：同一文件内声明阶数与写死尺度差 ≥512×，且无单位注释,AUD-402-判读-BD1 §1.2 D5,
hips_profile=1 的 support 量化,算法,lib/algorithms/drizzle/healpix_drizzle/astro_sphere_sink.cpp:520；lib/infrastructure/aio/src/hips/aio_hips_writer.cpp:1322；lib/algorithms/drizzle/healpix_drizzle/astro_sphere_sink.h:36（补侧·本行出处所列，该侧带值）,q = lround(255·S)；area_buf = (q/255)·a_cell（float32）,无量纲,covered_area 走 uint8 支撑格,包络严格界 |r| ≤ 0.5/q（文档式 1/(510·S) 是一阶近似，S→1 侧偏小 1.7e-5）,S<1/510=1.96078e-3 ⇒ q=0 ⇒ support=0 且 signal=NaN；S=1/510 ⇒ −50%（全映射最坏）；过覆盖 S=1.3 ⇒ +30%（钳到 255，非量化误差）,公式导出（量化映射为确定性算术）,astro_sphere_sink.cpp:186-191（profile=0 直写不量化）/:520-542（profile=1 量化）/:277-285（k=1.0 回退）；aio_hips_writer.cpp:1322-1341/:1212/:1327-1332；astro_sphere_sink.h:36「两末端必须逐字相同，禁止内联第二套分母」,公式导出,创新点④ 产品发布面精度上限,是（第②层复核改判）,红：两末端「同一物理输出」仅在 D_p 恰落 1/255 格点时成立；量化偏差比 FP32 累加噪声大 4 个数量级（第②层独立数 4.1×10³）、比冻结门大 2–3 个数量级；NaN→0 被接缝度量消费者当 0（render_vis.py:458、seam_footprint.py:386）；无 n_coverage_underflow 计数,AUD-204-面积交叠核验 AUD204-11；复核-AUD204 W3；复核注记：是（复核-AUD204 W3 确认并补两条更大分支，并把待裁项「profile=0 在 pf<1 偏移」定案为无偏移）,
k = D_p/N_p（发布因子）,公式,lib/algorithms/drizzle/healpix_drizzle/astro_sphere_sink.h:39；lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:1617；docs/science/DRIZZLE.md（补侧·本行出处所列，该侧带值）；docs/contracts/DATA_SEMANTICS.md:47（补侧·本行出处所列，该侧带值）；docs/algorithms/DRIZZLE_GEOMETRY.md:337（补侧·本行出处所列，该侧带值）,代码 k = sumArea/sumNorm = pixfrac²·(1+⟨δ⟩)；文档写「= pixfrac²」,无量纲,signal +1 次幂、variance +2 次幂的幂次守恒底数,⟨δ⟩ 按 a_jp 加权：θ=2″ ≤1.8e-10、θ=300″ ≈1.9e-7,sumNorm<=0 → k=1.0 回退,公式导出（等价性已独立复核：S_p 与 variance_p 对两种参数化不变）,astro_sphere_sink.h:26-52（:39 写 =pixfrac²）、:50-52；drizzle_engine.cpp:1617/:1639-1641/:1644/:1646-1650；docs/science/DRIZZLE.md §5:50/:83,公式导出,创新点④ 背景口径与发布面,是（第②层独立复核）,红：文档把 k ≡ pixfrac² 写成严格式，实测含 ⟨δ⟩；三处文档把权重分母写成 A_pixel 与代码 A_drop 相反（DATA_SEMANTICS.md:47、DRIZZLE_GEOMETRY.md:337-346、ASTROCS_DESIGN.md:209）,AUD-204-面积交叠核验 AUD204-09／AUD204-10；复核注记：是（第②层 W1/W3 复核）,
kLimit,常数,eng/tests/backend/mem_wire_test.cpp:223；eng/tests/unit/mem_wire_test.cpp:223（补侧·抄自判读件按侧登记的位置列）,2500,字节/条目上限（无量纲计数）,内存/句柄线上测试的限额,不适用,设计约束写在注释里：2×1000 ≤ 2500 < 3×1000,公式导出（可由 kPerNode 表达成不等式）,mem_wire_test.cpp:223；同注释 :222 给约束式,公式导出,线/内存预算测试,否（判读层逐行已判，未过第②层复核）,红（判读层立案 BD1-D4）：改 kPerNode 会静默失效，仓内无守护断言,AUD-402-判读-BD1 §1.2 D4,
kMoffat4FwhmFactor,常数,eng/tests/unit/p1snr/p1snr_linux_test.cpp:67；docs/algorithms/STAR_PSF_ALGORITHMS.md:62-64；lib/algorithms/psf/src/dpsf_psf.cpp:25；docs/science/ASTROMETRY.md:170；docs/algorithms/STAR_PSF_ALGORITHMS.md:199,1.230310,无量纲（FWHM/σ 比值）,PSF 块各向同性 Moffat β=4,实现值与精确值相对差 +1.91e-6（文档已登记）,仅 β=4；各向异性按轴用同因子,A（解析可导）＋ C（文档镜像）,docs/algorithms/STAR_PSF_ALGORITHMS.md:62-64（推导 FWHM=2√2·σ·√(2^{1/4}−1)=1.230307652590102·σ，并登记实现常量 MOFFAT4_FWHM_FACTOR=1.230310（dpsf_psf.cpp:25）与精确值相对差 +1.91e-6）；SCI 侧 docs/science/ASTROMETRY.md:170,公式导出,PSF 块 FWHM↔sigma 正向换算（禁止反解检测块列）,否（判读层逐行已判，未过第②层复核）,红（判读层立案 逐侧并列见本行出处与备注引文）：本行测试值与生产值同截断 ⇒ 不立案多侧不一致,AUD-402-判读-BD1,
min_sep_px,常数,eng/tests/unit/p1001_real_nodes_test.cpp:1851；docs/algorithms/GATES_AND_TOLERANCES.md:67,0.9（断言下限；变量名 min_unbridged_sep_px）,像素,未桥接（0-based 当 1-based）读法与桥接读法的角距离差,缺（0.9 的余量依据未登记）,仅当像素尺度 ≥ 适用域（本用例 1″/px）时有意义,C（文档给的是 ≥1 px，不给 0.9）,"docs/algorithms/GATES_AND_TOLERANCES.md:67（G-P1-WCS-BRIDGE 负对照条款：""移除或错置 +1 桥接必须 ≥1 px 偏差""）；行内推导注释 :1835-1836（""必须相差 ≥0.9 px，否则本 oracle 无鉴别力(恒真)""）",公式导出,W4-A1 像素原点判别的判别力自证门,否（判读层逐行已判，未过第②层复核）,红（判读层立案 BD1-N2｜AUD-402-判读-BD1 §1.4 N2）：文档条款 ≥1 px（GATES_AND_TOLERANCES.md:67）vs 测试执行 ≥0.9 px ⇒ 10% 松弛未登记；实际分离度经 SIP 项扰动后非严格 1 px，属需标定未标,AUD-402-判读-BD1；G-P1,
node_spacing_deg（生产）／NODE_SPACING_DEG（实验）,常数,lib/algorithms/coverage/src/sky_plane.cpp:454；docs/science/PHASE2_UPM.md（补侧·本行出处所列，该侧带值）,生产 default 0.0（禁默认标定值）；实验单元 NODE_SPACING_DEG=0.0355°,deg,B 样条节点间距,不适用,"生产由 constraining=min(overlap_band_width_deg, pointing_spacing_deg) 导出，upper=0.5·constraining、lower=max(sample_pitch_deg, pixel_scale_deg)，upper<lower ⇒ GEOMETRY_UNSUPPORTED 显式失败",公式导出（ASTROCS_DESIGN.md:413 规定由输入几何导出）,sky_plane.cpp:392-447/:454/:499-511；docs/science/PHASE2_UPM.md §7a 规则 1/2 与 :176-178（0.0355°→129.2 px @0.989″/px）,公式导出,Phase2 平面表示（正例：无标定常数）,是（第②层独立复核）,红：实验网格值与生产导出值同名易误读为生产常数（须分开引用，文档已声明但需登记）,AUD-203-天光无缝核验 AUD203-08；复核注记：是（成立，改法仅措辞登记）,
noise.mask_budget_min_patches,常数,eng/packaging/config/defaults.json:261；docs/science/NOISE_MODEL.md:98；lib/algorithms/noise_snr/cpp/src/noise_model.cpp:1261,8,count,天空预算合格 patch 数下限 n_qualified,无精度陈述,"注册 constraint 写 >=4；取值 8；schema :295-299 minimum=**1** maximum=1e6；解析层 [1,1e6]",可公式导出（下限 4 由平面 LS 可辨识性导出；8=2x 余量无据）,docs/science/NOISE_MODEL.md:98（n_qualified(s) >= 8 且 N_sky >= 9216）；>=4 的来源 = §4 :54 平面场启用条件（3 参数 + 非共线）,公式导出,Phase1 掩膜天空预算,否（判读层逐行已判，未过第②层复核）,红（判读层立案 逐侧并列见本行出处与备注引文）：值域三侧不等：注册 >=4 / schema 1 / 代码 1 ⇒ 填 1..3 时合同与代码都放行，而 SCI 判平面场不可辨识（静默降级为常量场，fail-open）,AUD-402-判读-A1,预筛已回：全表命中键 mask_budget_min_patches｜有值侧 3（S1 defaults、S4 合同schema、S5 代码兜底）
noise.mask_k_sigma,常数,eng/packaging/config/defaults.json:219；docs/science/NOISE_MODEL.md:88；lib/algorithms/noise_snr/cpp/src/noise_model.cpp:1258；artifacts/evidence/governance-01/research/MASK-001_掩膜语义重新推导.md；docs/science/NOISE_MODEL.md:108,0.1,sigma,掩膜边缘残余面亮度系数：源面亮度 = k·sigma_bg 处定半径,污染预算：sigma_bg 偏差 <=0.5%（= 5% oracle 的 1/10 余量）,"注册 >0；schema :274-278 exclusiveMinimum=0 maximum=100；解析层 (0,100]；使用层把 <=0 当 unset",可公式导出（配 SCI §11 源污染 oracle）,docs/science/NOISE_MODEL.md:88 与 :95（k=0.1 ⇒ 残余方差污染 <1%·sigma_bg^2 ⇒ 偏差 <=0.5%；注册件所引 :84 是实现一致性句）,公式导出,Phase1 逐星掩膜半径,否（判读层逐行已判，未过第②层复核）,红（判读层立案 MASK-001｜AUD-402-判读-A1 §2.3 O-5）：NOISE_MODEL.md:108 引的证据件实际跟踪路径在 artifacts/evidence/governance-01/research/，所记 reports/ 路径不存在 ⇒ 掩膜族（k=0.1、rmax=60、9216）的实验支撑锚点路径失效,AUD-402-判读-A1,预筛已回：全表命中键 mask_k_sigma｜有值侧 3（S1 defaults、S4 合同schema、S5 代码兜底）
noise.source_mask_radius_px,常数,eng/packaging/config/defaults.json:107；docs/science/NOISE_MODEL.md:97；lib/algorithms/noise_snr/cpp/src/noise_model.cpp:1250；lib/infrastructure/scheduler/src/module_adapters.cpp:6507-6511；lib/algorithms/noise_snr/README.md:111,10,px,"逐星掩膜硬上界 rmax 的 r0 项（非操作半径）；SCI 另授权 max(1,r0)",无精度陈述（上界参数，整数取值）,"注册面 >=1；schema 与代码解析面均为 [0,1e4]（含 0）","可公式导出（只在 rmax=max(1,r0)·max(1,scale) 里有意义）",docs/science/NOISE_MODEL.md:97（rmax 式；注册件所引 :86 是 §5a 小节空行，真锚在 :97，另 :52 写 rmax=60）,公式导出,Phase1 逐星掩膜半径上界,否（判读层逐行已判，未过第②层复核）,"红（判读层立案 逐侧并列见本行出处与备注引文）：五侧并列：defaults.json:107=10（constraint >=1）｜代码兜底 noise_model.cpp:1250=10.0｜使用层 :824 再写 max(1.0,·)｜schema :323-327 default=10 minimum=**0** maximum=1e4｜解",AUD-402-判读-A1,预筛已回：全表命中键 source_mask_radius_px｜有值侧 3（S1 defaults、S4 合同schema、S5 代码兜底）
